,week,position,song,artist
515,9/29/1997,36,Never Make A Promise,Dru Hill
516,9/29/1997,37,My Love Is The Shhh!,Somethin' For The People
517,9/29/1997,38,What About Us,Total
518,9/29/1997,39,Crash Into Me,Dave Matthews Band
519,9/29/1997,40,Butta Love,Next
520,10/6/1997,1,Foolish Games,Jewel
521,10/6/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
522,10/6/1997,3,Semi-charmed Life,Third Eye Blind
523,10/6/1997,4,Honey,Mariah Carey
524,10/6/1997,5,Fly,Sugar Ray
525,10/6/1997,6,2 Become 1,Spice Girls
526,10/6/1997,7,How Do I Live,LeAnn Rimes
527,10/6/1997,8,Push,Matchbox 20
528,10/6/1997,9,All For You,Sister Hazel
529,10/6/1997,10,4 Seasons Of Loneliness,Boyz II Men
530,10/6/1997,11,Invisible Man,98 Degrees
531,10/6/1997,12,Building A Mystery,Sarah McLachlan
532,10/6/1997,13,I'll Be Missing You,Puff Daddy
533,10/6/1997,14,Do You Know,Robyn
534,10/6/1997,15,Men In Black,Will Smith
