,week,position,song,artist
535,10/6/1997,16,I Don't Want To Wait,Paula Cole
536,10/6/1997,17,All Cried Out,Allure
537,10/6/1997,18,How Bizarre,Omc
538,10/6/1997,19,On My Own,Peach Union
539,10/6/1997,20,Bitch,Meredith Brooks
540,10/6/1997,21,If You Could Only See,Tonic
541,10/6/1997,22,"Mo Money,mo Problems",Notorious B.I.G.
542,10/6/1997,23,Barbie Girl,Aqua
543,10/6/1997,24,Candle In The Wind 1997,Elton John
544,10/6/1997,25,The Freshmen,Verve Pipe
545,10/6/1997,26,Sunny Came Home,Shawn Colvin
546,10/6/1997,27,You Make Me Wanna...,Usher
547,10/6/1997,28,The Difference,Wallflowers
548,10/6/1997,29,The Impression That I Get,Mighty Mighty Bosstones
549,10/6/1997,30,"Too Gone,too Long",En Vogue
550,10/6/1997,31,Show Me Love,Robyn
551,10/6/1997,32,My Love Is The Shhh!,Somethin' For The People
552,10/6/1997,33,You Should Be Mine (Don't Waste Your Time),Brian McKnight
553,10/6/1997,34,The One I Gave My Heart To,Aaliyah
554,10/6/1997,35,Up Jumps Da Boogie,Magoo
555,10/6/1997,36,Coco Jamboo,Mr.President
556,10/6/1997,37,Criminal,Fiona Apple
557,10/6/1997,38,What About Us,Total
558,10/6/1997,39,Tubthumping,Chumbawamba
559,10/6/1997,40,Legend Of A Cowgirl,Imani Coppola
560,10/13/1997,1,Foolish Games,Jewel
561,10/13/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
562,10/13/1997,3,Semi-charmed Life,Third Eye Blind
563,10/13/1997,4,How Do I Live,LeAnn Rimes
564,10/13/1997,5,Fly,Sugar Ray
565,10/13/1997,6,4 Seasons Of Loneliness,Boyz II Men
566,10/13/1997,7,Honey,Mariah Carey
567,10/13/1997,8,2 Become 1,Spice Girls
568,10/13/1997,9,Push,Matchbox 20
569,10/13/1997,10,All For You,Sister Hazel
570,10/13/1997,11,Building A Mystery,Sarah McLachlan
571,10/13/1997,12,Invisible Man,98 Degrees
572,10/13/1997,13,I'll Be Missing You,Puff Daddy
573,10/13/1997,14,All Cried Out,Allure
574,10/13/1997,15,Do You Know,Robyn
575,10/13/1997,16,I Don't Want To Wait,Paula Cole
576,10/13/1997,17,On My Own,Peach Union
577,10/13/1997,18,Candle In The Wind 1997,Elton John
578,10/13/1997,19,Men In Black,Will Smith
579,10/13/1997,20,Show Me Love,Robyn
580,10/13/1997,21,If You Could Only See,Tonic
581,10/13/1997,22,"Mo Money,mo Problems",Notorious B.I.G.
582,10/13/1997,23,How Bizarre,Omc
583,10/13/1997,24,Bitch,Meredith Brooks
584,10/13/1997,25,You Make Me Wanna...,Usher
585,10/13/1997,26,The Impression That I Get,Mighty Mighty Bosstones
586,10/13/1997,27,"Too Gone,too Long",En Vogue
587,10/13/1997,28,My Love Is The Shhh!,Somethin' For The People
588,10/13/1997,29,Tubthumping,Chumbawamba
589,10/13/1997,30,Legend Of A Cowgirl,Imani Coppola
590,10/13/1997,31,Barbie Girl,Aqua
591,10/13/1997,32,You Should Be Mine (Don't Waste Your Time),Brian McKnight
592,10/13/1997,33,The One I Gave My Heart To,Aaliyah
593,10/13/1997,34,The Freshmen,Verve Pipe
594,10/13/1997,35,What About Us,Total
595,10/13/1997,36,The Difference,Wallflowers
596,10/13/1997,37,Criminal,Fiona Apple
597,10/13/1997,38,Butta Love,Next
598,10/13/1997,39,Up Jumps Da Boogie,Magoo
599,10/13/1997,40,Walkin' On The Sun,Smash Mouth
600,10/20/1997,1,Foolish Games,Jewel
601,10/20/1997,2,How Do I Live,LeAnn Rimes
602,10/20/1997,3,Fly,Sugar Ray
603,10/20/1997,4,Quit Playing Games (with My Heart),Backstreet Boys
604,10/20/1997,5,4 Seasons Of Loneliness,Boyz II Men
605,10/20/1997,6,Semi-charmed Life,Third Eye Blind
606,10/20/1997,7,Push,Matchbox 20
607,10/20/1997,8,Honey,Mariah Carey
608,10/20/1997,9,2 Become 1,Spice Girls
609,10/20/1997,10,Building A Mystery,Sarah McLachlan
610,10/20/1997,11,All For You,Sister Hazel
611,10/20/1997,12,Invisible Man,98 Degrees
612,10/20/1997,13,All Cried Out,Allure
613,10/20/1997,14,I Don't Want To Wait,Paula Cole
614,10/20/1997,15,Tubthumping,Chumbawamba
615,10/20/1997,16,I'll Be Missing You,Puff Daddy
616,10/20/1997,17,On My Own,Peach Union
617,10/20/1997,18,Show Me Love,Robyn
618,10/20/1997,19,Do You Know,Robyn
619,10/20/1997,20,If You Could Only See,Tonic
620,10/20/1997,21,Candle In The Wind 1997,Elton John
621,10/20/1997,22,"Mo Money,mo Problems",Notorious B.I.G.
622,10/20/1997,23,Legend Of A Cowgirl,Imani Coppola
623,10/20/1997,24,Men In Black,Will Smith
624,10/20/1997,25,"Too Gone,too Long",En Vogue
625,10/20/1997,26,Walkin' On The Sun,Smash Mouth
626,10/20/1997,27,You Make Me Wanna...,Usher
627,10/20/1997,28,The Impression That I Get,Mighty Mighty Bosstones
628,10/20/1997,29,How Bizarre,Omc
629,10/20/1997,30,My Love Is The Shhh!,Somethin' For The People
630,10/20/1997,31,Bitch,Meredith Brooks
631,10/20/1997,32,Criminal,Fiona Apple
632,10/20/1997,33,The One I Gave My Heart To,Aaliyah
633,10/20/1997,34,You Should Be Mine (Don't Waste Your Time),Brian McKnight
634,10/20/1997,35,What About Us,Total
635,10/20/1997,36,Butta Love,Next
636,10/20/1997,37,The Freshmen,Verve Pipe
637,10/20/1997,38,I Care 'bout You,Milestone
638,10/20/1997,39,Everything,Mary J. Blige
639,10/20/1997,40,Takes A Little Time,Amy Grant
640,10/27/1997,1,Foolish Games,Jewel
641,10/27/1997,2,Fly,Sugar Ray
642,10/27/1997,3,4 Seasons Of Loneliness,Boyz II Men
643,10/27/1997,4,How Do I Live,LeAnn Rimes
644,10/27/1997,5,Quit Playing Games (with My Heart),Backstreet Boys
645,10/27/1997,6,Semi-charmed Life,Third Eye Blind
646,10/27/1997,7,Push,Matchbox 20
647,10/27/1997,8,Tubthumping,Chumbawamba
648,10/27/1997,9,I Don't Want To Wait,Paula Cole
649,10/27/1997,10,Building A Mystery,Sarah McLachlan
650,10/27/1997,11,2 Become 1,Spice Girls
651,10/27/1997,12,All For You,Sister Hazel
652,10/27/1997,13,All Cried Out,Allure
653,10/27/1997,14,Show Me Love,Robyn
654,10/27/1997,15,Invisible Man,98 Degrees
655,10/27/1997,16,Honey,Mariah Carey
656,10/27/1997,17,I'll Be Missing You,Puff Daddy
657,10/27/1997,18,If You Could Only See,Tonic
658,10/27/1997,19,You Make Me Wanna...,Usher
659,10/27/1997,20,Legend Of A Cowgirl,Imani Coppola
660,10/27/1997,21,Walkin' On The Sun,Smash Mouth
661,10/27/1997,22,"Mo Money,mo Problems",Notorious B.I.G.
662,10/27/1997,23,On My Own,Peach Union
663,10/27/1997,24,Do You Know,Robyn
664,10/27/1997,25,Candle In The Wind 1997,Elton John
665,10/27/1997,26,Criminal,Fiona Apple
666,10/27/1997,27,"Too Gone,too Long",En Vogue
667,10/27/1997,28,Men In Black,Will Smith
668,10/27/1997,29,The Impression That I Get,Mighty Mighty Bosstones
669,10/27/1997,30,How Bizarre,Omc
670,10/27/1997,31,My Love Is The Shhh!,Somethin' For The People
671,10/27/1997,32,The One I Gave My Heart To,Aaliyah
672,10/27/1997,33,Butterfly,Mariah Carey
673,10/27/1997,34,What About Us,Total
674,10/27/1997,35,You Should Be Mine (Don't Waste Your Time),Brian McKnight
675,10/27/1997,36,Butta Love,Next
676,10/27/1997,37,Everything,Mary J. Blige
677,10/27/1997,38,I Care 'bout You,Milestone
678,10/27/1997,39,Takes A Little Time,Amy Grant
679,10/27/1997,40,Bitch,Meredith Brooks
680,11/3/1997,1,Fly,Sugar Ray
681,11/3/1997,2,Foolish Games,Jewel
682,11/3/1997,3,4 Seasons Of Loneliness,Boyz II Men
683,11/3/1997,4,How Do I Live,LeAnn Rimes
684,11/3/1997,5,Tubthumping,Chumbawamba
685,11/3/1997,6,Push,Matchbox 20
686,11/3/1997,7,Semi-charmed Life,Third Eye Blind
687,11/3/1997,8,Quit Playing Games (with My Heart),Backstreet Boys
688,11/3/1997,9,I Don't Want To Wait,Paula Cole
689,11/3/1997,10,Building A Mystery,Sarah McLachlan
690,11/3/1997,11,All Cried Out,Allure
691,11/3/1997,12,All For You,Sister Hazel
692,11/3/1997,13,Show Me Love,Robyn
693,11/3/1997,14,2 Become 1,Spice Girls
694,11/3/1997,15,Invisible Man,98 Degrees
695,11/3/1997,16,Walkin' On The Sun,Smash Mouth
696,11/3/1997,17,You Make Me Wanna...,Usher
697,11/3/1997,18,If You Could Only See,Tonic
698,11/3/1997,19,Legend Of A Cowgirl,Imani Coppola
699,11/3/1997,20,Honey,Mariah Carey
700,11/3/1997,21,Criminal,Fiona Apple
701,11/3/1997,22,I'll Be Missing You,Puff Daddy
702,11/3/1997,23,Butterfly,Mariah Carey
703,11/3/1997,24,Candle In The Wind 1997,Elton John
704,11/3/1997,25,The Impression That I Get,Mighty Mighty Bosstones
705,11/3/1997,26,"Mo Money,mo Problems",Notorious B.I.G.
706,11/3/1997,27,My Love Is The Shhh!,Somethin' For The People
707,11/3/1997,28,On My Own,Peach Union
708,11/3/1997,29,"Too Gone,too Long",En Vogue
709,11/3/1997,30,Men In Black,Will Smith
710,11/3/1997,31,The One I Gave My Heart To,Aaliyah
711,11/3/1997,32,How Bizarre,Omc
712,11/3/1997,33,My Body,LSG
713,11/3/1997,34,Feel So Good,Mase
714,11/3/1997,35,Do You Know,Robyn
715,11/3/1997,36,What About Us,Total
716,11/3/1997,37,Sock It 2 Me,Missy 'Misdemeanor' Elliott
717,11/3/1997,38,I Will Come To You,Hanson
718,11/3/1997,39,Takes A Little Time,Amy Grant
719,11/3/1997,40,Butta Love,Next
720,11/10/1997,1,Fly,Sugar Ray
721,11/10/1997,2,Tubthumping,Chumbawamba
722,11/10/1997,3,How Do I Live,LeAnn Rimes
723,11/10/1997,4,Foolish Games,Jewel
724,11/10/1997,5,4 Seasons Of Loneliness,Boyz II Men
725,11/10/1997,6,Show Me Love,Robyn
726,11/10/1997,7,I Don't Want To Wait,Paula Cole
727,11/10/1997,8,Push,Matchbox 20
728,11/10/1997,9,Semi-charmed Life,Third Eye Blind
729,11/10/1997,10,All Cried Out,Allure
730,11/10/1997,11,Quit Playing Games (with My Heart),Backstreet Boys
731,11/10/1997,12,Building A Mystery,Sarah McLachlan
732,11/10/1997,13,You Make Me Wanna...,Usher
733,11/10/1997,14,All For You,Sister Hazel
734,11/10/1997,15,Walkin' On The Sun,Smash Mouth
735,11/10/1997,16,Invisible Man,98 Degrees
736,11/10/1997,17,2 Become 1,Spice Girls
737,11/10/1997,18,Criminal,Fiona Apple
738,11/10/1997,19,If You Could Only See,Tonic
739,11/10/1997,20,Butterfly,Mariah Carey
740,11/10/1997,21,Legend Of A Cowgirl,Imani Coppola
741,11/10/1997,22,I'll Be Missing You,Puff Daddy
742,11/10/1997,23,Candle In The Wind 1997,Elton John
743,11/10/1997,24,Honey,Mariah Carey
744,11/10/1997,25,The Impression That I Get,Mighty Mighty Bosstones
745,11/10/1997,26,My Love Is The Shhh!,Somethin' For The People
746,11/10/1997,27,My Body,LSG
747,11/10/1997,28,"Mo Money,mo Problems",Notorious B.I.G.
748,11/10/1997,29,The One I Gave My Heart To,Aaliyah
749,11/10/1997,30,Feel So Good,Mase
750,11/10/1997,31,Sock It 2 Me,Missy 'Misdemeanor' Elliott
751,11/10/1997,32,Breaking All The Rules,She Moves
752,11/10/1997,33,How Bizarre,Omc
753,11/10/1997,34,What About Us,Total
754,11/10/1997,35,Takes A Little Time,Amy Grant
755,11/10/1997,36,Men In Black,Will Smith
756,11/10/1997,37,Butta Love,Next
757,11/10/1997,38,I Will Come To You,Hanson
758,11/10/1997,39,On My Own,Peach Union
759,11/10/1997,40,"Too Gone,too Long",En Vogue
760,11/17/1997,1,Fly,Sugar Ray
761,11/17/1997,2,Tubthumping,Chumbawamba
762,11/17/1997,3,How Do I Live,LeAnn Rimes
763,11/17/1997,4,Foolish Games,Jewel
764,11/17/1997,5,Show Me Love,Robyn
765,11/17/1997,6,4 Seasons Of Loneliness,Boyz II Men
766,11/17/1997,7,All Cried Out,Allure
767,11/17/1997,8,I Don't Want To Wait,Paula Cole
768,11/17/1997,9,Push,Matchbox 20
769,11/17/1997,10,You Make Me Wanna...,Usher
770,11/17/1997,11,Semi-charmed Life,Third Eye Blind
771,11/17/1997,12,Quit Playing Games (with My Heart),Backstreet Boys
772,11/17/1997,13,Building A Mystery,Sarah McLachlan
773,11/17/1997,14,Walkin' On The Sun,Smash Mouth
774,11/17/1997,15,Criminal,Fiona Apple
775,11/17/1997,16,All For You,Sister Hazel
776,11/17/1997,17,Butterfly,Mariah Carey
777,11/17/1997,18,Invisible Man,98 Degrees
778,11/17/1997,19,If You Could Only See,Tonic
779,11/17/1997,20,Legend Of A Cowgirl,Imani Coppola
780,11/17/1997,21,2 Become 1,Spice Girls
781,11/17/1997,22,Breaking All The Rules,She Moves
782,11/17/1997,23,Candle In The Wind 1997,Elton John
783,11/17/1997,24,My Body,LSG
784,11/17/1997,25,My Love Is The Shhh!,Somethin' For The People
785,11/17/1997,26,"Mo Money,mo Problems",Notorious B.I.G.
786,11/17/1997,27,I Do,Lisa Loeb
787,11/17/1997,28,I'll Be Missing You,Puff Daddy
788,11/17/1997,29,The One I Gave My Heart To,Aaliyah
789,11/17/1997,30,I Will Come To You,Hanson
790,11/17/1997,31,Feel So Good,Mase
791,11/17/1997,32,Sock It 2 Me,Missy 'Misdemeanor' Elliott
792,11/17/1997,33,As Long As You Love Me,Backstreet Boys
793,11/17/1997,34,The Impression That I Get,Mighty Mighty Bosstones
794,11/17/1997,35,Takes A Little Time,Amy Grant
795,11/17/1997,36,Honey,Mariah Carey
796,11/17/1997,37,What About Us,Total
797,11/17/1997,38,Butta Love,Next
798,11/17/1997,39,Spice Up Your Life,Spice Girls
799,11/17/1997,40,Something About The Way You Look Tonight,Elton John
800,11/24/1997,1,Tubthumping,Chumbawamba
801,11/24/1997,2,Fly,Sugar Ray
802,11/24/1997,3,Show Me Love,Robyn
803,11/24/1997,4,How Do I Live,LeAnn Rimes
804,11/24/1997,5,Foolish Games,Jewel
805,11/24/1997,6,I Don't Want To Wait,Paula Cole
806,11/24/1997,7,You Make Me Wanna...,Usher
807,11/24/1997,8,4 Seasons Of Loneliness,Boyz II Men
808,11/24/1997,9,All Cried Out,Allure
809,11/24/1997,10,Push,Matchbox 20
810,11/24/1997,11,Semi-charmed Life,Third Eye Blind
811,11/24/1997,12,Quit Playing Games (with My Heart),Backstreet Boys
812,11/24/1997,13,Walkin' On The Sun,Smash Mouth
813,11/24/1997,14,I Will Come To You,Hanson
814,11/24/1997,15,Butterfly,Mariah Carey
815,11/24/1997,16,Criminal,Fiona Apple
816,11/24/1997,17,All For You,Sister Hazel
817,11/24/1997,18,Building A Mystery,Sarah McLachlan
818,11/24/1997,19,I Do,Lisa Loeb
819,11/24/1997,20,Breaking All The Rules,She Moves
820,11/24/1997,21,If You Could Only See,Tonic
821,11/24/1997,22,As Long As You Love Me,Backstreet Boys
822,11/24/1997,23,Invisible Man,98 Degrees
823,11/24/1997,24,Candle In The Wind 1997,Elton John
824,11/24/1997,25,Legend Of A Cowgirl,Imani Coppola
825,11/24/1997,26,My Love Is The Shhh!,Somethin' For The People
826,11/24/1997,27,My Body,LSG
827,11/24/1997,28,"Mo Money,mo Problems",Notorious B.I.G.
828,11/24/1997,29,Feel So Good,Mase
829,11/24/1997,30,2 Become 1,Spice Girls
830,11/24/1997,31,The One I Gave My Heart To,Aaliyah
831,11/24/1997,32,Takes A Little Time,Amy Grant
832,11/24/1997,33,Sock It 2 Me,Missy 'Misdemeanor' Elliott
833,11/24/1997,34,I'll Be Missing You,Puff Daddy
834,11/24/1997,35,Butta Love,Next
835,11/24/1997,36,Spice Up Your Life,Spice Girls
836,11/24/1997,37,"Truly,madly,deeply",Savage Garden
837,11/24/1997,38,What About Us,Total
838,11/24/1997,39,Something About The Way You Look Tonight,Elton John
839,11/24/1997,40,Honey,Mariah Carey
840,12/1/1997,1,Tubthumping,Chumbawamba
841,12/1/1997,2,Show Me Love,Robyn
842,12/1/1997,3,Fly,Sugar Ray
843,12/1/1997,4,You Make Me Wanna...,Usher
844,12/1/1997,5,How Do I Live,LeAnn Rimes
845,12/1/1997,6,I Don't Want To Wait,Paula Cole
846,12/1/1997,7,All Cried Out,Allure
847,12/1/1997,8,Foolish Games,Jewel
848,12/1/1997,9,4 Seasons Of Loneliness,Boyz II Men
849,12/1/1997,10,Push,Matchbox 20
850,12/1/1997,11,Semi-charmed Life,Third Eye Blind
851,12/1/1997,12,Walkin' On The Sun,Smash Mouth
852,12/1/1997,13,I Will Come To You,Hanson
853,12/1/1997,14,I Do,Lisa Loeb
854,12/1/1997,15,Quit Playing Games (with My Heart),Backstreet Boys
855,12/1/1997,16,Criminal,Fiona Apple
856,12/1/1997,17,"Truly,madly,deeply",Savage Garden
857,12/1/1997,18,As Long As You Love Me,Backstreet Boys
858,12/1/1997,19,All For You,Sister Hazel
859,12/1/1997,20,Breaking All The Rules,She Moves
860,12/1/1997,21,Butterfly,Mariah Carey
861,12/1/1997,22,Building A Mystery,Sarah McLachlan
862,12/1/1997,23,If You Could Only See,Tonic
863,12/1/1997,24,Candle In The Wind 1997,Elton John
864,12/1/1997,25,Feel So Good,Mase
865,12/1/1997,26,"Mo Money,mo Problems",Notorious B.I.G.
866,12/1/1997,27,My Body,LSG
867,12/1/1997,28,My Love Is The Shhh!,Somethin' For The People
868,12/1/1997,29,Together Again,Janet Jackson
869,12/1/1997,30,Invisible Man,98 Degrees
870,12/1/1997,31,Takes A Little Time,Amy Grant
871,12/1/1997,32,The One I Gave My Heart To,Aaliyah
872,12/1/1997,33,Sock It 2 Me,Missy 'Misdemeanor' Elliott
873,12/1/1997,34,Butta Love,Next
874,12/1/1997,35,Legend Of A Cowgirl,Imani Coppola
875,12/1/1997,36,Spice Up Your Life,Spice Girls
876,12/1/1997,37,What About Us,Total
877,12/1/1997,38,Something About The Way You Look Tonight,Elton John
878,12/1/1997,39,Love You Down,Inoj
879,12/1/1997,40,How's It Going To Be,Third Eye Blind
880,12/8/1997,1,Tubthumping,Chumbawamba
881,12/8/1997,2,Show Me Love,Robyn
882,12/8/1997,3,Fly,Sugar Ray
883,12/8/1997,4,You Make Me Wanna...,Usher
884,12/8/1997,5,All Cried Out,Allure
885,12/8/1997,6,How Do I Live,LeAnn Rimes
886,12/8/1997,7,I Don't Want To Wait,Paula Cole
887,12/8/1997,8,Foolish Games,Jewel
888,12/8/1997,9,"Truly,madly,deeply",Savage Garden
889,12/8/1997,10,4 Seasons Of Loneliness,Boyz II Men
890,12/8/1997,11,I Do,Lisa Loeb
891,12/8/1997,12,Walkin' On The Sun,Smash Mouth
892,12/8/1997,13,As Long As You Love Me,Backstreet Boys
893,12/8/1997,14,I Will Come To You,Hanson
894,12/8/1997,15,Criminal,Fiona Apple
895,12/8/1997,16,Push,Matchbox 20
896,12/8/1997,17,Semi-charmed Life,Third Eye Blind
897,12/8/1997,18,Breaking All The Rules,She Moves
898,12/8/1997,19,Quit Playing Games (with My Heart),Backstreet Boys
899,12/8/1997,20,Butterfly,Mariah Carey
900,12/8/1997,21,All For You,Sister Hazel
901,12/8/1997,22,Feel So Good,Mase
902,12/8/1997,23,Building A Mystery,Sarah McLachlan
903,12/8/1997,24,If You Could Only See,Tonic
904,12/8/1997,25,My Love Is The Shhh!,Somethin' For The People
905,12/8/1997,26,Candle In The Wind 1997,Elton John
906,12/8/1997,27,Together Again,Janet Jackson
907,12/8/1997,28,My Body,LSG
908,12/8/1997,29,"Mo Money,mo Problems",Notorious B.I.G.
909,12/8/1997,30,Takes A Little Time,Amy Grant
910,12/8/1997,31,It's All About The Benjamins,Puff Daddy
911,12/8/1997,32,The One I Gave My Heart To,Aaliyah
912,12/8/1997,33,Spice Up Your Life,Spice Girls
913,12/8/1997,34,Butta Love,Next
914,12/8/1997,35,Something About The Way You Look Tonight,Elton John
915,12/8/1997,36,How's It Going To Be,Third Eye Blind
916,12/8/1997,37,Sock It 2 Me,Missy 'Misdemeanor' Elliott
917,12/8/1997,38,What About Us,Total
918,12/8/1997,39,Love You Down,Inoj
919,12/8/1997,40,A Song For Mama,Boyz II Men
920,12/15/1997,1,Tubthumping,Chumbawamba
921,12/15/1997,2,Show Me Love,Robyn
922,12/15/1997,3,Fly,Sugar Ray
923,12/15/1997,4,You Make Me Wanna...,Usher
924,12/15/1997,5,All Cried Out,Allure
925,12/15/1997,6,How Do I Live,LeAnn Rimes
926,12/15/1997,7,I Don't Want To Wait,Paula Cole
927,12/15/1997,8,"Truly,madly,deeply",Savage Garden
928,12/15/1997,9,Walkin' On The Sun,Smash Mouth
929,12/15/1997,10,Foolish Games,Jewel
930,12/15/1997,11,I Do,Lisa Loeb
931,12/15/1997,12,Together Again,Janet Jackson
932,12/15/1997,13,As Long As You Love Me,Backstreet Boys
933,12/15/1997,14,4 Seasons Of Loneliness,Boyz II Men
934,12/15/1997,15,I Will Come To You,Hanson
935,12/15/1997,16,Breaking All The Rules,She Moves
936,12/15/1997,17,Push,Matchbox 20
937,12/15/1997,18,Semi-charmed Life,Third Eye Blind
938,12/15/1997,19,Criminal,Fiona Apple
939,12/15/1997,20,Feel So Good,Mase
940,12/15/1997,21,My Love Is The Shhh!,Somethin' For The People
941,12/15/1997,22,If You Could Only See,Tonic
942,12/15/1997,23,Candle In The Wind 1997,Elton John
943,12/15/1997,24,How's It Going To Be,Third Eye Blind
944,12/15/1997,25,Butterfly,Mariah Carey
945,12/15/1997,26,My Body,LSG
946,12/15/1997,27,Quit Playing Games (with My Heart),Backstreet Boys
947,12/15/1997,28,Building A Mystery,Sarah McLachlan
948,12/15/1997,29,It's All About The Benjamins,Puff Daddy
949,12/15/1997,30,A Song For Mama,Boyz II Men
950,12/15/1997,31,3:00 AM,Matchbox 20
951,12/15/1997,32,Takes A Little Time,Amy Grant
952,12/15/1997,33,"Mo Money,mo Problems",Notorious B.I.G.
953,12/15/1997,34,Something About The Way You Look Tonight,Elton John
954,12/15/1997,35,What Would Happen,Meredith Brooks
955,12/15/1997,36,All For You,Sister Hazel
956,12/15/1997,37,Butta Love,Next
957,12/15/1997,38,The One I Gave My Heart To,Aaliyah
958,12/15/1997,39,Spice Up Your Life,Spice Girls
959,12/15/1997,40,Love You Down,Inoj
960,12/22/1997,1,Tubthumping,Chumbawamba
961,12/22/1997,2,Show Me Love,Robyn
962,12/22/1997,3,Fly,Sugar Ray
963,12/22/1997,4,You Make Me Wanna...,Usher
964,12/22/1997,5,All Cried Out,Allure
965,12/22/1997,6,"Truly,madly,deeply",Savage Garden
966,12/22/1997,7,How Do I Live,LeAnn Rimes
967,12/22/1997,8,Walkin' On The Sun,Smash Mouth
968,12/22/1997,9,I Don't Want To Wait,Paula Cole
969,12/22/1997,10,Together Again,Janet Jackson
970,12/22/1997,11,I Do,Lisa Loeb
971,12/22/1997,12,As Long As You Love Me,Backstreet Boys
972,12/22/1997,13,Foolish Games,Jewel
973,12/22/1997,14,I Will Come To You,Hanson
974,12/22/1997,15,Breaking All The Rules,She Moves
975,12/22/1997,16,4 Seasons Of Loneliness,Boyz II Men
976,12/22/1997,17,Semi-charmed Life,Third Eye Blind
977,12/22/1997,18,Push,Matchbox 20
978,12/22/1997,19,Criminal,Fiona Apple
979,12/22/1997,20,How's It Going To Be,Third Eye Blind
980,12/22/1997,21,My Love Is The Shhh!,Somethin' For The People
981,12/22/1997,22,Feel So Good,Mase
982,12/22/1997,23,Candle In The Wind 1997,Elton John
983,12/22/1997,24,If You Could Only See,Tonic
984,12/22/1997,25,3:00 AM,Matchbox 20
985,12/22/1997,26,It's All About The Benjamins,Puff Daddy
986,12/22/1997,27,My Body,LSG
987,12/22/1997,28,A Song For Mama,Boyz II Men
988,12/22/1997,29,Quit Playing Games (with My Heart),Backstreet Boys
989,12/22/1997,30,What Would Happen,Meredith Brooks
990,12/22/1997,31,"Mo Money,mo Problems",Notorious B.I.G.
991,12/22/1997,32,Butterfly,Mariah Carey
992,12/22/1997,33,The One I Gave My Heart To,Aaliyah
993,12/22/1997,34,Building A Mystery,Sarah McLachlan
994,12/22/1997,35,Something About The Way You Look Tonight,Elton John
