chart_order,week,position,artist,song,combo
341,10/6/97,12,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
342,10/6/97,14,Robyn,Do You Know,Robyn: Do You Know
343,10/6/97,16,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
344,10/6/97,17,Allure,All Cried Out,Allure: All Cried Out
345,10/6/97,18,Omc,How Bizarre,Omc: How Bizarre
346,10/6/97,20,Meredith Brooks,Bitch,Meredith Brooks: Bitch
347,10/6/97,21,Tonic,If You Could Only See,Tonic: If You Could Only See
348,10/6/97,23,Aqua,Barbie Girl,Aqua: Barbie Girl
349,10/6/97,25,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
350,10/6/97,26,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
351,10/6/97,28,Wallflowers,The Difference,Wallflowers: The Difference
352,10/6/97,29,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
353,10/6/97,31,Robyn,Show Me Love,Robyn: Show Me Love
354,10/6/97,32,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
355,10/6/97,37,Fiona Apple,Criminal,Fiona Apple: Criminal
356,10/6/97,38,Total,What About Us,Total: What About Us
357,10/6/97,39,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
358,10/6/97,40,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
359,10/13/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
360,10/13/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
361,10/13/97,4,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
362,10/13/97,5,Sugar Ray,Fly,Sugar Ray: Fly
363,10/13/97,8,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
364,10/13/97,10,Sister Hazel,All For You,Sister Hazel: All For You
365,10/13/97,11,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
366,10/13/97,14,Allure,All Cried Out,Allure: All Cried Out
367,10/13/97,15,Robyn,Do You Know,Robyn: Do You Know
368,10/13/97,16,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
369,10/13/97,20,Robyn,Show Me Love,Robyn: Show Me Love
370,10/13/97,21,Tonic,If You Could Only See,Tonic: If You Could Only See
371,10/13/97,23,Omc,How Bizarre,Omc: How Bizarre
372,10/13/97,24,Meredith Brooks,Bitch,Meredith Brooks: Bitch
373,10/13/97,26,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
374,10/13/97,28,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
375,10/13/97,29,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
376,10/13/97,30,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
377,10/13/97,31,Aqua,Barbie Girl,Aqua: Barbie Girl
378,10/13/97,34,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
379,10/13/97,35,Total,What About Us,Total: What About Us
380,10/13/97,36,Wallflowers,The Difference,Wallflowers: The Difference
381,10/13/97,37,Fiona Apple,Criminal,Fiona Apple: Criminal
382,10/13/97,38,Next,Butta Love,Next: Butta Love
383,10/13/97,40,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
384,10/20/97,2,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
385,10/20/97,3,Sugar Ray,Fly,Sugar Ray: Fly
386,10/20/97,4,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
387,10/20/97,6,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
388,10/20/97,9,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
389,10/20/97,10,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
390,10/20/97,11,Sister Hazel,All For You,Sister Hazel: All For You
391,10/20/97,13,Allure,All Cried Out,Allure: All Cried Out
392,10/20/97,14,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
393,10/20/97,15,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
394,10/20/97,18,Robyn,Show Me Love,Robyn: Show Me Love
395,10/20/97,19,Robyn,Do You Know,Robyn: Do You Know
396,10/20/97,20,Tonic,If You Could Only See,Tonic: If You Could Only See
397,10/20/97,23,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
398,10/20/97,26,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
399,10/20/97,28,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
400,10/20/97,29,Omc,How Bizarre,Omc: How Bizarre
401,10/20/97,30,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
402,10/20/97,31,Meredith Brooks,Bitch,Meredith Brooks: Bitch
403,10/20/97,32,Fiona Apple,Criminal,Fiona Apple: Criminal
404,10/20/97,35,Total,What About Us,Total: What About Us
405,10/20/97,36,Next,Butta Love,Next: Butta Love
406,10/20/97,37,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
407,10/27/97,2,Sugar Ray,Fly,Sugar Ray: Fly
408,10/27/97,4,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
409,10/27/97,5,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
410,10/27/97,6,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
411,10/27/97,8,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
412,10/27/97,9,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
413,10/27/97,10,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
414,10/27/97,11,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
415,10/27/97,12,Sister Hazel,All For You,Sister Hazel: All For You
416,10/27/97,13,Allure,All Cried Out,Allure: All Cried Out
417,10/27/97,14,Robyn,Show Me Love,Robyn: Show Me Love
418,10/27/97,18,Tonic,If You Could Only See,Tonic: If You Could Only See
419,10/27/97,20,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
420,10/27/97,21,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
421,10/27/97,24,Robyn,Do You Know,Robyn: Do You Know
422,10/27/97,26,Fiona Apple,Criminal,Fiona Apple: Criminal
423,10/27/97,29,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
424,10/27/97,30,Omc,How Bizarre,Omc: How Bizarre
425,10/27/97,31,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
426,10/27/97,34,Total,What About Us,Total: What About Us
427,10/27/97,36,Next,Butta Love,Next: Butta Love
428,10/27/97,40,Meredith Brooks,Bitch,Meredith Brooks: Bitch
429,11/3/97,1,Sugar Ray,Fly,Sugar Ray: Fly
430,11/3/97,4,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
431,11/3/97,5,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
432,11/3/97,7,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
433,11/3/97,8,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
434,11/3/97,9,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
435,11/3/97,10,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
436,11/3/97,11,Allure,All Cried Out,Allure: All Cried Out
437,11/3/97,12,Sister Hazel,All For You,Sister Hazel: All For You
438,11/3/97,13,Robyn,Show Me Love,Robyn: Show Me Love
439,11/3/97,14,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
440,11/3/97,16,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
441,11/3/97,18,Tonic,If You Could Only See,Tonic: If You Could Only See
442,11/3/97,19,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
443,11/3/97,21,Fiona Apple,Criminal,Fiona Apple: Criminal
444,11/3/97,25,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
445,11/3/97,27,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
446,11/3/97,32,Omc,How Bizarre,Omc: How Bizarre
447,11/3/97,33,LSG,My Body,LSG: My Body
448,11/3/97,35,Robyn,Do You Know,Robyn: Do You Know
449,11/3/97,36,Total,What About Us,Total: What About Us
450,11/3/97,38,Hanson,I Will Come To You,Hanson: I Will Come To You
451,11/3/97,40,Next,Butta Love,Next: Butta Love
452,11/10/97,1,Sugar Ray,Fly,Sugar Ray: Fly
453,11/10/97,2,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
454,11/10/97,3,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
455,11/10/97,6,Robyn,Show Me Love,Robyn: Show Me Love
456,11/10/97,7,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
457,11/10/97,9,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
458,11/10/97,10,Allure,All Cried Out,Allure: All Cried Out
459,11/10/97,11,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
460,11/10/97,12,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
461,11/10/97,14,Sister Hazel,All For You,Sister Hazel: All For You
462,11/10/97,15,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
463,11/10/97,17,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
464,11/10/97,18,Fiona Apple,Criminal,Fiona Apple: Criminal
465,11/10/97,19,Tonic,If You Could Only See,Tonic: If You Could Only See
466,11/10/97,21,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
467,11/10/97,25,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
468,11/10/97,26,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
469,11/10/97,27,LSG,My Body,LSG: My Body
470,11/10/97,33,Omc,How Bizarre,Omc: How Bizarre
471,11/10/97,34,Total,What About Us,Total: What About Us
472,11/10/97,37,Next,Butta Love,Next: Butta Love
473,11/10/97,38,Hanson,I Will Come To You,Hanson: I Will Come To You
474,11/17/97,1,Sugar Ray,Fly,Sugar Ray: Fly
475,11/17/97,2,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
476,11/17/97,3,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
477,11/17/97,5,Robyn,Show Me Love,Robyn: Show Me Love
478,11/17/97,7,Allure,All Cried Out,Allure: All Cried Out
479,11/17/97,8,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
480,11/17/97,11,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
481,11/17/97,12,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
482,11/17/97,13,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
483,11/17/97,14,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
484,11/17/97,15,Fiona Apple,Criminal,Fiona Apple: Criminal
485,11/17/97,16,Sister Hazel,All For You,Sister Hazel: All For You
486,11/17/97,19,Tonic,If You Could Only See,Tonic: If You Could Only See
487,11/17/97,20,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
488,11/17/97,21,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
489,11/17/97,24,LSG,My Body,LSG: My Body
490,11/17/97,25,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
491,11/17/97,27,Lisa Loeb,I Do,Lisa Loeb: I Do
492,11/17/97,30,Hanson,I Will Come To You,Hanson: I Will Come To You
493,11/17/97,33,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
494,11/17/97,34,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
495,11/17/97,37,Total,What About Us,Total: What About Us
496,11/17/97,38,Next,Butta Love,Next: Butta Love
497,11/17/97,39,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
498,11/24/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
499,11/24/97,2,Sugar Ray,Fly,Sugar Ray: Fly
500,11/24/97,3,Robyn,Show Me Love,Robyn: Show Me Love
501,11/24/97,4,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
502,11/24/97,6,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
503,11/24/97,9,Allure,All Cried Out,Allure: All Cried Out
504,11/24/97,11,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
505,11/24/97,12,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
506,11/24/97,13,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
507,11/24/97,14,Hanson,I Will Come To You,Hanson: I Will Come To You
508,11/24/97,16,Fiona Apple,Criminal,Fiona Apple: Criminal
509,11/24/97,17,Sister Hazel,All For You,Sister Hazel: All For You
510,11/24/97,18,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
511,11/24/97,19,Lisa Loeb,I Do,Lisa Loeb: I Do
512,11/24/97,21,Tonic,If You Could Only See,Tonic: If You Could Only See
513,11/24/97,22,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
514,11/24/97,25,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
515,11/24/97,26,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
516,11/24/97,27,LSG,My Body,LSG: My Body
517,11/24/97,30,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
518,11/24/97,35,Next,Butta Love,Next: Butta Love
519,11/24/97,36,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
520,11/24/97,38,Total,What About Us,Total: What About Us
521,12/1/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
522,12/1/97,2,Robyn,Show Me Love,Robyn: Show Me Love
523,12/1/97,3,Sugar Ray,Fly,Sugar Ray: Fly
524,12/1/97,5,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
525,12/1/97,6,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
526,12/1/97,7,Allure,All Cried Out,Allure: All Cried Out
527,12/1/97,11,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
528,12/1/97,12,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
529,12/1/97,13,Hanson,I Will Come To You,Hanson: I Will Come To You
530,12/1/97,14,Lisa Loeb,I Do,Lisa Loeb: I Do
531,12/1/97,15,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
532,12/1/97,16,Fiona Apple,Criminal,Fiona Apple: Criminal
533,12/1/97,18,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
534,12/1/97,19,Sister Hazel,All For You,Sister Hazel: All For You
535,12/1/97,22,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
536,12/1/97,23,Tonic,If You Could Only See,Tonic: If You Could Only See
537,12/1/97,27,LSG,My Body,LSG: My Body
538,12/1/97,28,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
539,12/1/97,29,Janet Jackson,Together Again,Janet Jackson: Together Again
540,12/1/97,34,Next,Butta Love,Next: Butta Love
541,12/1/97,35,Imani Coppola,Legend Of A Cowgirl,Imani Coppola: Legend Of A Cowgirl
542,12/1/97,36,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
543,12/1/97,37,Total,What About Us,Total: What About Us
544,12/1/97,39,Inoj,Love You Down,Inoj: Love You Down
545,12/1/97,40,Third Eye Blind,How's It Going To Be,Third Eye Blind: How's It Going To Be
546,12/8/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
547,12/8/97,2,Robyn,Show Me Love,Robyn: Show Me Love
548,12/8/97,3,Sugar Ray,Fly,Sugar Ray: Fly
549,12/8/97,5,Allure,All Cried Out,Allure: All Cried Out
550,12/8/97,6,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
551,12/8/97,7,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
552,12/8/97,11,Lisa Loeb,I Do,Lisa Loeb: I Do
553,12/8/97,12,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
554,12/8/97,13,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
555,12/8/97,14,Hanson,I Will Come To You,Hanson: I Will Come To You
556,12/8/97,15,Fiona Apple,Criminal,Fiona Apple: Criminal
557,12/8/97,17,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
558,12/8/97,19,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
559,12/8/97,21,Sister Hazel,All For You,Sister Hazel: All For You
560,12/8/97,23,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
561,12/8/97,24,Tonic,If You Could Only See,Tonic: If You Could Only See
562,12/8/97,25,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
563,12/8/97,27,Janet Jackson,Together Again,Janet Jackson: Together Again
564,12/8/97,28,LSG,My Body,LSG: My Body
565,12/8/97,33,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
566,12/8/97,34,Next,Butta Love,Next: Butta Love
567,12/8/97,36,Third Eye Blind,How's It Going To Be,Third Eye Blind: How's It Going To Be
568,12/8/97,38,Total,What About Us,Total: What About Us
569,12/8/97,39,Inoj,Love You Down,Inoj: Love You Down
570,12/8/97,40,Boyz II Men,A Song For Mama,Boyz II Men: A Song For Mama
571,12/15/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
572,12/15/97,2,Robyn,Show Me Love,Robyn: Show Me Love
573,12/15/97,3,Sugar Ray,Fly,Sugar Ray: Fly
574,12/15/97,5,Allure,All Cried Out,Allure: All Cried Out
575,12/15/97,6,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
576,12/15/97,7,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
577,12/15/97,9,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
578,12/15/97,11,Lisa Loeb,I Do,Lisa Loeb: I Do
579,12/15/97,12,Janet Jackson,Together Again,Janet Jackson: Together Again
580,12/15/97,13,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
581,12/15/97,15,Hanson,I Will Come To You,Hanson: I Will Come To You
582,12/15/97,18,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
583,12/15/97,19,Fiona Apple,Criminal,Fiona Apple: Criminal
584,12/15/97,21,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
585,12/15/97,22,Tonic,If You Could Only See,Tonic: If You Could Only See
586,12/15/97,24,Third Eye Blind,How's It Going To Be,Third Eye Blind: How's It Going To Be
587,12/15/97,26,LSG,My Body,LSG: My Body
588,12/15/97,27,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
589,12/15/97,28,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
590,12/15/97,30,Boyz II Men,A Song For Mama,Boyz II Men: A Song For Mama
591,12/15/97,35,Meredith Brooks,What Would Happen,Meredith Brooks: What Would Happen
592,12/15/97,36,Sister Hazel,All For You,Sister Hazel: All For You
593,12/15/97,37,Next,Butta Love,Next: Butta Love
594,12/15/97,39,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
595,12/15/97,40,Inoj,Love You Down,Inoj: Love You Down
596,12/22/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
597,12/22/97,2,Robyn,Show Me Love,Robyn: Show Me Love
598,12/22/97,3,Sugar Ray,Fly,Sugar Ray: Fly
599,12/22/97,5,Allure,All Cried Out,Allure: All Cried Out
600,12/22/97,7,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
601,12/22/97,8,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
602,12/22/97,9,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
603,12/22/97,10,Janet Jackson,Together Again,Janet Jackson: Together Again
604,12/22/97,11,Lisa Loeb,I Do,Lisa Loeb: I Do
605,12/22/97,12,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
606,12/22/97,14,Hanson,I Will Come To You,Hanson: I Will Come To You
607,12/22/97,17,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
608,12/22/97,19,Fiona Apple,Criminal,Fiona Apple: Criminal
609,12/22/97,20,Third Eye Blind,How's It Going To Be,Third Eye Blind: How's It Going To Be
610,12/22/97,21,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
611,12/22/97,24,Tonic,If You Could Only See,Tonic: If You Could Only See
612,12/22/97,27,LSG,My Body,LSG: My Body
613,12/22/97,28,Boyz II Men,A Song For Mama,Boyz II Men: A Song For Mama
614,12/22/97,29,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
615,12/22/97,30,Meredith Brooks,What Would Happen,Meredith Brooks: What Would Happen
616,12/22/97,34,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
617,12/22/97,37,Spice Girls,Spice Up Your Life,Spice Girls: Spice Up Your Life
618,12/22/97,39,Next,Butta Love,Next: Butta Love
619,12/22/97,40,Inoj,Love You Down,Inoj: Love You Down
620,12/29/97,1,Chumbawamba,Tubthumping,Chumbawamba: Tubthumping
621,12/29/97,2,Robyn,Show Me Love,Robyn: Show Me Love
622,12/29/97,3,Sugar Ray,Fly,Sugar Ray: Fly
623,12/29/97,6,Smash Mouth,Walkin' On The Sun,Smash Mouth: Walkin' On The Sun
624,12/29/97,7,Allure,All Cried Out,Allure: All Cried Out
625,12/29/97,8,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
626,12/29/97,9,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
627,12/29/97,10,Janet Jackson,Together Again,Janet Jackson: Together Again
628,12/29/97,11,Lisa Loeb,I Do,Lisa Loeb: I Do
629,12/29/97,12,Backstreet Boys,As Long As You Love Me,Backstreet Boys: As Long As You Love Me
630,12/29/97,14,Hanson,I Will Come To You,Hanson: I Will Come To You
631,12/29/97,15,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
632,12/29/97,19,Third Eye Blind,How's It Going To Be,Third Eye Blind: How's It Going To Be
